epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.975,1.22915,5.29631,1.38989,0.26447,0.11467,0.05378,0.03447,1.20541,3.97229,1.30516,6.944e-05,6.944e-05,6.944e-05
2,156.858,1.15556,2.97692,1.29848,0.43309,0.20844,0.177,0.11787,1.17053,2.30578,1.25516,0.000139654,0.000139654,0.000139654
3,194.637,1.13806,2.31574,1.25911,0.49268,0.24282,0.21017,0.13913,1.21241,2.07679,1.27176,0.000208449,0.000208449,0.000208449
4,231.688,1.13947,2.05341,1.26562,0.4731,0.29292,0.26186,0.17806,1.16983,1.86663,1.24417,0.000210555,0.000210555,0.000210555
5,267.676,1.10177,1.84753,1.24153,0.47286,0.3174,0.3034,0.20231,1.20444,1.8065,1.25996,0.000208407,0.000208407,0.000208407
6,303.394,1.08458,1.72598,1.24112,0.469,0.34732,0.33085,0.22934,1.14405,1.72175,1.23178,0.000206258,0.000206258,0.000206258
7,339.514,1.07123,1.60409,1.22182,0.56049,0.38594,0.3987,0.28016,1.1186,1.47878,1.19669,0.00020411,0.00020411,0.00020411
8,374.927,1.05474,1.52503,1.2108,0.54128,0.3902,0.42243,0.29904,1.10407,1.50816,1.18943,0.000201962,0.000201962,0.000201962
9,410.285,1.0492,1.44523,1.19853,0.62587,0.42546,0.4765,0.34408,1.08727,1.38182,1.1908,0.000199814,0.000199814,0.000199814
10,446.416,1.04395,1.36562,1.19838,0.60999,0.471,0.52761,0.38327,1.05599,1.23833,1.16361,0.000197665,0.000197665,0.000197665
11,482.058,1.03724,1.30252,1.19197,0.67269,0.54138,0.60515,0.44548,1.02804,1.10433,1.13901,0.000195517,0.000195517,0.000195517
12,517.828,1.01661,1.27396,1.1807,0.62176,0.48354,0.55041,0.39493,1.05512,1.23064,1.1475,0.000193369,0.000193369,0.000193369
13,553.088,1.01183,1.22237,1.17144,0.64229,0.53811,0.5991,0.43943,1.01595,1.06588,1.12979,0.00019122,0.00019122,0.00019122
14,588.135,1.00551,1.17712,1.16778,0.71132,0.54955,0.63807,0.47002,1.01912,1.11231,1.13498,0.000189072,0.000189072,0.000189072
15,624.192,1.00752,1.13836,1.16253,0.68205,0.54514,0.62071,0.44901,1.01744,1.08142,1.13385,0.000186924,0.000186924,0.000186924
16,658.923,0.98115,1.1186,1.15774,0.76199,0.59331,0.6894,0.51537,0.98957,0.95878,1.0979,0.000184775,0.000184775,0.000184775
17,695.039,0.98253,1.05334,1.15047,0.7292,0.59116,0.68274,0.50905,0.97872,1.00345,1.10243,0.000182627,0.000182627,0.000182627
18,730.087,0.97436,1.0442,1.14098,0.73685,0.60516,0.69757,0.51717,0.97893,0.92098,1.09522,0.000180479,0.000180479,0.000180479
19,765.503,0.97507,1.01024,1.13446,0.72668,0.64507,0.71716,0.54443,0.97124,0.93557,1.09635,0.000178331,0.000178331,0.000178331
20,800.951,0.9616,0.9989,1.13528,0.77872,0.64941,0.74313,0.56115,0.95523,0.86375,1.08025,0.000176182,0.000176182,0.000176182
21,836.289,0.94989,0.95943,1.12888,0.78104,0.66082,0.7524,0.57268,0.9577,0.87975,1.07609,0.000174034,0.000174034,0.000174034
22,871.682,0.95144,0.96451,1.13451,0.75106,0.65819,0.74634,0.56573,0.93829,0.88006,1.07019,0.000171886,0.000171886,0.000171886
23,906.383,0.93396,0.93005,1.12105,0.80567,0.68462,0.78637,0.60372,0.92731,0.78185,1.05669,0.000169737,0.000169737,0.000169737
24,941.543,0.94153,0.91316,1.11943,0.79316,0.72685,0.807,0.62671,0.91597,0.74722,1.04954,0.000167589,0.000167589,0.000167589
25,976.694,0.93263,0.88206,1.11218,0.83538,0.71037,0.81898,0.63772,0.90047,0.75423,1.03664,0.000165441,0.000165441,0.000165441
26,1012.1,0.92351,0.88538,1.11946,0.82814,0.72596,0.83289,0.64431,0.88957,0.70655,1.03566,0.000163292,0.000163292,0.000163292
27,1047.47,0.91506,0.87398,1.11198,0.85443,0.74861,0.84271,0.65981,0.88336,0.68087,1.02924,0.000161144,0.000161144,0.000161144
28,1082.59,0.90242,0.84785,1.10225,0.86466,0.75693,0.85819,0.6741,0.87532,0.65825,1.02079,0.000158996,0.000158996,0.000158996
